t,date,deutschland,synthetisch,gap,spez,t_fake,date_fake
7,2006.5,67.47513,68.46097506164995,-0.9858450616499539,Haupt (J=7),33,2013
8,2006.75,67.7817,68.58604697139806,-0.8043469713980613,Haupt (J=7),33,2013
9,2007,68.48769,69.06959632158062,-0.5819063215806182,Haupt (J=7),33,2013
10,2007.25,68.81258,69.20705469787714,-0.3944746978771434,Haupt (J=7),33,2013
11,2007.5,69.18359,69.73550703415947,-0.551917034159473,Haupt (J=7),33,2013
12,2007.75,69.36181,69.70934482428204,-0.34753482428203597,Haupt (J=7),33,2013
13,2008,69.81321,70.32164135165542,-0.5084313516554175,Haupt (J=7),33,2013
14,2008.25,69.80685,70.4998020759799,-0.6929520759799033,Haupt (J=7),33,2013
15,2008.5,70.35694,70.13620267252165,0.2207373274783464,Haupt (J=7),33,2013
16,2008.75,70.43853,70.30029173355632,0.13823826644367898,Haupt (J=7),33,2013
17,2009,69.24348,69.99370407589274,-0.7502240758927314,Haupt (J=7),33,2013
18,2009.25,69.34557,69.77934357397311,-0.433773573973113,Haupt (J=7),33,2013
19,2009.5,69.180179999999993,69.63536086890983,-0.4551808689098351,Haupt (J=7),33,2013
20,2009.75,69.81895,69.82175660666722,-0.00280660666722099,Haupt (J=7),33,2013
21,2010,69.90231,69.92313804771138,-0.02082804771137603,Haupt (J=7),33,2013
22,2010.25,70.25742,70.01208652991008,0.24533347008991768,Haupt (J=7),33,2013
23,2010.5,70.44604,70.24778607495189,0.1982539250481068,Haupt (J=7),33,2013
24,2010.75,70.65646,70.62611475762812,0.03034524237187952,Haupt (J=7),33,2013
25,2011,71.21901,70.3215020932023,0.8975079067976992,Haupt (J=7),33,2013
26,2011.25,71.75304,70.5047418574797,1.248298142520298,Haupt (J=7),33,2013
27,2011.5,71.83925,70.75156671638804,1.087683283611966,Haupt (J=7),33,2013
28,2011.75,72.25014,70.45808217526931,1.7920578247306906,Haupt (J=7),33,2013
29,2012,71.77687,70.61792260462659,1.158947395373417,Haupt (J=7),33,2013
30,2012.25,71.98163,70.91297343874498,1.0686565612550112,Haupt (J=7),33,2013
31,2012.5,72.06743,70.8233187407039,1.2441112592961048,Haupt (J=7),33,2013
32,2012.75,72.14242,70.83505731986722,1.3073626801327833,Haupt (J=7),33,2013
33,2013,72.18745,70.62452934650128,1.562920653498722,Haupt (J=7),33,2013
34,2013.25,72.47523,71.03076506405057,1.4444649359494264,Haupt (J=7),33,2013
35,2013.5,72.39938,70.85246965766113,1.5469103423388617,Haupt (J=7),33,2013
36,2013.75,72.46141,70.54329837330448,1.91811162669552,Haupt (J=7),33,2013
37,2014,72.45598,70.35702627102079,2.098953728979211,Haupt (J=7),33,2013
38,2014.25,72.56773,70.68153758921812,1.8861924107818737,Haupt (J=7),33,2013
39,2014.5,72.71888,70.35793445324234,2.3609455467576623,Haupt (J=7),33,2013
40,2014.75,72.56651,70.43246272471056,2.134047275289433,Haupt (J=7),33,2013
41,2015,72.70757,70.45570015566594,2.251869844334067,Haupt (J=7),33,2013
42,2015.25,72.51051,70.33160585872835,2.1789041412716443,Haupt (J=7),33,2013
43,2015.5,72.63437,70.59026057130995,2.0441094286900494,Haupt (J=7),33,2013
44,2015.75,72.76231,70.66375664888659,2.0985533511134093,Haupt (J=7),33,2013
45,2016,72.93954,70.68819835372705,2.251341646272948,Haupt (J=7),33,2013
46,2016.25,72.98755,70.88965984728937,2.097890152710633,Haupt (J=7),33,2013
47,2016.5,73.40736,71.12182016345108,2.285539836548921,Haupt (J=7),33,2013
48,2016.75,73.49681,71.17515007965113,2.321659920348864,Haupt (J=7),33,2013
49,2017,73.41237,71.21506505353756,2.197304946462438,Haupt (J=7),33,2013
50,2017.25,73.58966,71.67685202463097,1.9128079753690201,Haupt (J=7),33,2013
51,2017.5,73.71687,71.49122918137647,2.225640818623532,Haupt (J=7),33,2013
52,2017.75,73.96725,72.00478852239688,1.962461477603128,Haupt (J=7),33,2013
53,2018,74.04164,72.12922307330003,1.9124169266999758,Haupt (J=7),33,2013
54,2018.25,74.02095,72.55469012182294,1.4662598781770555,Haupt (J=7),33,2013
55,2018.5,74.28933,72.46621153605713,1.8231184639428761,Haupt (J=7),33,2013
56,2018.75,74.40572,72.60785179031087,1.7978682096891276,Haupt (J=7),33,2013
57,2019,74.73882,72.82940909379595,1.9094109062040587,Haupt (J=7),33,2013
58,2019.25,74.89684,72.97773905831744,1.919100941682558,Haupt (J=7),33,2013
59,2019.5,74.87152,72.87792287310234,1.9935971268976687,Haupt (J=7),33,2013
60,2019.75,74.74255,73.2219754191954,1.5205745808045918,Haupt (J=7),33,2013
